dc,time,wm_changes,firing_count
1091,54,22,6
1092,1244,79,7
1093,187,24,10
1094,547,98,47
1095,150,25,3
1096,209,41,17
1097,10,5,0
1098,92,45,11
1099,31,13,1
1100,88,61,6
1101,33,13,1
1102,263,105,11
1103,184,20,7
1104,333,46,8
1105,104,13,1
1106,210,37,5
1107,86,19,4
1108,9,5,0
1109,64,36,9
1110,39,12,1
1111,106,61,12
1112,47,12,1
1113,108,60,10
1114,112,17,1
1115,106,71,8
1116,64,20,5
1117,345,58,3
1118,211,33,9
1119,10,5,0
1120,92,45,11
1121,30,13,1
1122,70,61,6
1123,26,13,1
1124,205,105,8
1125,27,13,2
1126,107,20,5
1127,10,5,0
1128,63,36,9
1129,30,12,1
1130,95,61,13
1131,40,12,1
1132,95,60,10
1133,130,12,1
1134,108,71,8
1135,63,20,5
1136,306,62,6
1137,217,33,8
1138,10,5,0
1139,91,52,14
1140,39,13,1
1141,74,61,6
1142,28,13,1
1143,69,60,6
1144,544,22,1
1145,156,74,9
1146,152,51,21
1147,78,23,9
1148,66,23,8
1149,62,23,7
1150,58,23,6
1151,55,23,5
1152,54,23,4
1153,50,23,3
1154,43,23,2
1155,277,62,2
1156,718,137,42
1157,299,44,13
1158,12,5,0
1159,83,34,11
1160,48,19,5
1161,293,60,10
1162,457,13,1
1163,136,15,3
1164,249,39,6
1165,186,20,5
1166,9,5,0
1167,66,36,9
1168,30,12,1
1169,101,61,12
1170,32,12,1
1171,95,60,10
1172,118,21,1
1173,95,73,8
1174,63,23,8
1175,326,58,3
1176,371,56,18
1177,309,68,12
1178,86,15,3
1179,82,19,4
1180,9,5,0
1181,63,36,9
1182,26,12,1
1183,94,61,12
1184,29,12,1
1185,91,60,10
1186,71,15,1
1187,92,71,8
1188,55,20,5
1189,314,58,3
1190,240,41,16
1191,142,29,7
1192,375,67,24
1193,91,13,1
1194,130,20,1
1195,9,5,0
1196,104,52,14
1197,32,13,1
1198,104,61,6
1199,33,13,1
1200,74,60,6
1201,171,32,1
1202,95,68,9
1203,76,27,9
1204,52,23,3
1205,41,23,2
1206,213,63,2
1207,223,52,13
1208,299,51,19
1209,98,14,3
1210,227,40,7
1211,27,8,5
1212,51,28,7
1213,25,13,2
1214,27,13,2
1215,1272,637,6
1216,353,5,1
1217,56,31,9
1218,174,9,1
1219,68,34,11
1220,293,30,4
1221,407,79,5
1222,18,3,0
1223,49,31,9
1224,6,5,0
1225,43,30,8
1226,40,18,4
1227,397,85,5
1228,16,3,0
1229,42,26,7
1230,6,5,0
1231,41,30,7
1232,8,7,0
1233,413,219,79
1234,11,9,0
1235,118,52,25
1236,144,14,1
1237,66,43,7
1238,349,48,2
1239,13,11,0
1240,64,41,8
1241,294,49,2
1242,174,29,1
1243,197,63,6
1244,10,9,0
1245,59,36,10
1246,677,23,9
1247,429,23,7
1248,2675,77,22
1249,83,43,14
1250,11,11,0
1251,107,47,22
1252,13,13,0
1253,57,35,7
1254,98,73,9
1255,18,15,0
1256,98,66,18
1257,1434,110,12
1258,32,13,0
1259,50,35,7
1260,97,75,9
1261,19,15,0
1262,125,51,15
1263,1193,197,30
1264,245,210,18
1265,181,41,9
1266,148,18,1
1267,179,21,2
1268,281,27,4
1269,297,21,2
1270,331,21,2
1271,343,18,1
1272,405,24,3
1273,381,18,1
1274,469,27,4
1275,563,27,4
1276,582,21,2
1277,602,21,2
1278,638,21,2
1279,644,18,1
1280,662,18,1
1281,676,18,1
1282,685,18,1
1283,692,18,1
1284,698,18,1
1285,1695,465,8
1286,675,57,21
1287,51,31,9
1288,6,5,0
1289,42,30,8
1290,21,14,1
1291,324,73,2
1292,19,3,0
1293,50,31,9
1294,298,51,5
1295,17,3,0
1296,48,31,9
1297,526,93,6
1298,21,3,0
1299,79,43,13
1300,63,16,3
1301,20,10,1
1302,96,18,5
1303,7,5,0
1304,61,36,9
1305,27,12,1
1306,78,57,9
1307,131,24,1
1308,87,69,8
1309,64,24,9
1310,149,54,3
1311,81,24,5
1312,64,19,4
1313,8,5,0
1314,61,36,9
1315,26,12,1
1316,92,61,13
1317,26,12,1
1318,85,60,10
1319,84,17,1
1320,88,72,8
1321,57,22,7
1322,169,58,3
1323,107,29,8
1324,9,5,0
1325,87,52,14
1326,26,13,1
1327,68,61,6
1328,27,13,1
1329,60,60,6
1330,24,13,1
1331,152,109,8
1332,26,13,2
1333,77,20,5
1334,7,5,0
1335,57,36,9
1336,26,12,1
1337,90,61,13
1338,26,12,1
1339,82,60,10
1340,548,101,1
1341,104,88,8
1342,181,73,41
1343,75,23,8
1344,66,23,7
1345,61,23,6
1346,57,23,5
1347,54,23,4
1348,50,23,3
1349,42,23,2
1350,340,62,6
1351,563,136,55
1352,252,40,14
1353,10,5,0
1354,66,33,10
1355,44,19,5
1356,183,64,10
1357,204,13,1
1358,69,14,2
1359,166,43,8
1360,50,14,2
1361,106,19,4
1362,9,5,0
1363,61,36,9
1364,27,12,1
1365,99,61,13
1366,28,12,1
1367,86,60,10
1368,262,51,1
1369,99,76,8
1370,127,49,23
1371,61,23,5
1372,54,23,4
1373,48,23,3
1374,42,23,2
1375,267,58,3
1376,260,69,18
1377,143,19,4
1378,9,5,0
1379,62,36,9
1380,28,12,1
1381,94,61,13
1382,28,12,1
1383,85,60,10
1384,106,21,1
1385,94,73,8
1386,62,23,8
1387,220,58,3
1388,193,38,12
1389,174,38,6
1390,146,19,4
1391,9,5,0
1392,61,36,9
1393,28,12,1
1394,90,61,12
1395,29,12,1
1396,86,60,10
1397,122,23,1
1398,91,73,8
1399,63,23,8
1400,241,58,3
1401,200,38,12
1402,190,38,6
1403,168,20,6
1404,10,5,0
1405,62,36,9
1406,28,12,1
1407,89,61,12
1408,29,12,1
1409,84,60,10
1410,308,59,1
1411,96,77,8
1412,94,34,14
1413,46,23,2
1414,280,58,3
1415,240,57,14
1416,106,31,7
1417,9,5,0
1418,88,41,14
1419,49,25,7
1420,1297,82,9
1421,263,60,11
1422,72,15,3
1423,105,19,4
1424,9,5,0
1425,63,36,9
1426,28,12,1
1427,94,61,13
1428,29,12,1
1429,86,60,10
1430,296,21,1
1431,97,76,8
1432,128,49,23
1433,63,23,5
1434,52,23,4
1435,48,23,3
1436,40,23,2
1437,312,58,3
1438,355,72,19
1439,161,19,4
1440,10,5,0
1441,63,36,9
1442,29,12,1
1443,96,61,13
1444,29,12,1
1445,87,60,10
1446,182,14,1
1447,98,73,8
1448,63,23,8
1449,264,58,3
1450,223,38,12
1451,206,38,6
1452,155,19,4
1453,10,5,0
1454,63,36,9
1455,30,12,1
1456,93,61,12
1457,29,12,1
1458,88,60,10
1459,247,34,1
1460,100,77,8
1461,77,27,12
1462,304,58,3
1463,229,38,12
1464,224,38,6
1465,177,20,6
1466,11,5,0
1467,64,36,9
1468,31,12,1
1469,93,61,12
1470,375,72,1
1471,102,78,8
1472,114,44,17
1473,69,23,7
1474,61,23,6
1475,58,23,5
1476,54,23,4
1477,50,23,3
1478,41,23,2
1479,359,54,3
1480,547,104,28
1481,404,28,6
1482,10,5,0
1483,67,36,9
1484,32,12,1
1485,93,61,12
1486,32,12,1
1487,88,60,10
1488,74,16,1
1489,92,71,8
1490,52,20,5
1491,312,58,3
1492,248,38,12
1493,240,38,5
1494,196,19,4
1495,10,5,0
1496,63,36,9
1497,30,12,1
1498,91,61,12
1499,30,12,1
1500,89,60,10
1501,104,20,1
1502,90,72,8
1503,53,20,5
1504,327,58,3
1505,251,41,8
1506,204,19,4
1507,11,5,0
1508,73,41,10
1509,186,27,1
1510,102,73,9
1511,66,24,7
1512,44,23,2
1513,325,50,3
1514,350,64,12
1515,220,19,4
1516,10,5,0
1517,73,41,10
1518,33,12,1
1519,97,61,14
1520,36,12,1
1521,68,53,7
1522,32,12,1
1523,96,60,11
1524,305,21,1
1525,105,81,8
1526,155,49,23
1527,66,23,5
1528,58,23,4
1529,52,23,3
1530,45,23,2
1531,423,61,3
1532,487,80,21
1533,382,19,4
1534,12,5,0
1535,67,36,9
1536,32,12,1
1537,99,61,13
1538,30,12,1
1539,89,60,10
1540,164,14,1
1541,99,73,8
1542,68,23,8
1543,379,58,3
1544,283,38,12
1545,285,39,6
1546,353,25,6
1547,15,5,0
1548,67,36,9
1549,30,12,1
1550,114,61,12
1551,48,12,1
1552,132,60,10
1553,117,15,1
1554,141,71,8
1555,77,20,5
1556,456,58,3
1557,339,35,12
1558,395,46,29
1559,679,102,27
1560,12,5,0
1561,117,38,16
1562,121,46,13
1563,164,57,27
1564,515,83,40
1565,20,6,1
1566,79,38,14
1567,282,51,4
1568,229,24,8
1569,478,82,19
1570,145,26,7
1571,394,64,19
1572,184,34,11
1573,11,5,0
1574,168,47,23
1575,59,28,8
1576,3630,92,11
1577,430,53,15
1578,186,24,9
1579,458,77,37
1580,183,26,4
1581,133,23,1
1582,10,5,0
1583,99,52,14
1584,42,13,1
1585,76,61,6
1586,30,13,1
1587,68,60,6
1588,187,32,1
1589,90,68,9
1590,77,27,9
1591,53,23,3
1592,42,23,2
1593,238,63,2
1594,255,52,13
1595,449,75,26
1596,128,14,2
1597,127,15,4
1598,317,40,7
1599,32,11,6
1600,51,28,7
1601,24,13,2
1602,40,13,2
1603,1960,730,5
1604,99,5,1
1605,53,31,9
1606,7,5,0
1607,66,34,11
1608,99,23,2
1609,560,85,9
1610,19,3,0
1611,50,31,9
1612,407,69,4
1613,16,3,0
1614,48,31,9
1615,6,5,0
1616,43,30,8
1617,40,18,4
1618,393,82,5
1619,16,3,0
1620,44,26,7
1621,6,5,0
1622,42,30,7
1623,8,7,0
1624,452,220,79
1625,11,9,0
1626,106,51,23
1627,118,14,1
1628,81,45,11
1629,49,32,2
1630,341,50,2
1631,146,14,1
1632,77,45,11
1633,46,32,2
1634,366,50,2
1635,201,31,1
1636,242,26,3
1637,212,57,7
1638,13,9,0
1639,68,38,12
1640,1667,30,15
1641,1453,43,13
1642,4705,96,29
1643,19,9,0
1644,87,34,8
1645,11,11,0
1646,182,45,6
1647,125,87,7
1648,87,45,13
1649,13,13,0
1650,561,110,9
1651,251,198,3
1652,1702,322,73
1653,111,48,16
1654,14,11,0
1655,383,85,78
1656,17,13,0
1657,72,35,7
